number,value,datetime_start,datetime_complete,duration,params_ccp_alpha,params_class_weight,params_max_features,params_min_samples_leaf,params_n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
43,0.9097394638204657,2023-09-04 17:23:58.650523,2023-09-04 17:30:15.032385,0 days 00:06:16.381862,0.0025,balanced,6,31,400,124.7867358525594,0.6253600915273031,0.9097394638204657,0.907967156077851,0.9049274892828904,0.9163237461006555,2.4201899472195563,0.023753212823485647,0.004818331205926896,COMPLETE
44,0.9097394638204657,2023-09-04 17:24:04.732052,2023-09-04 17:30:21.527976,0 days 00:06:16.795924,0.0025,balanced,6,31,400,124.91941523551941,0.6397051016489664,0.9097394638204657,0.907967156077851,0.9049274892828904,0.9163237461006555,2.035779224058333,0.013909353440411498,0.004818331205926896,COMPLETE
45,0.9097394638204657,2023-09-04 17:24:21.290478,2023-09-04 17:30:03.597793,0 days 00:05:42.307315,0.0025,balanced,6,31,400,113.43811615308125,0.6241429646809896,0.9097394638204657,0.907967156077851,0.9049274892828904,0.9163237461006555,2.3203871821075985,0.11929898263416408,0.004818331205926896,COMPLETE
46,0.9097394638204657,2023-09-04 17:24:50.255068,2023-09-04 17:31:07.327993,0 days 00:06:17.072925,0.0025,balanced,6,31,400,125.0447850227356,0.5950093269348145,0.9097394638204657,0.907967156077851,0.9049274892828904,0.9163237461006555,2.927586892922588,0.04938664988463717,0.004818331205926896,COMPLETE
47,0.9103984036799333,2023-09-04 17:25:00.695465,2023-09-04 17:31:54.004347,0 days 00:06:53.308882,0.0025,balanced,6,11,400,137.0902292728424,0.6220328013102213,0.9103984036799333,0.9087470093423693,0.9057591429867644,0.9166890587106661,2.903495361760074,0.010081146382692965,0.004612381299394202,COMPLETE
48,0.9097394638204657,2023-09-04 17:25:13.670110,2023-09-04 17:30:54.210077,0 days 00:05:40.539967,0.0025,balanced,6,31,400,112.9183259010315,0.5464831193288168,0.9097394638204657,0.907967156077851,0.9049274892828904,0.9163237461006555,2.9668708568004227,0.0059393767282034885,0.004818331205926896,COMPLETE
49,0.9097394638204657,2023-09-04 17:28:08.566101,2023-09-04 17:33:59.964253,0 days 00:05:51.398152,0.0025,balanced,6,31,400,116.22330943743388,0.8603856563568115,0.9097394638204657,0.907967156077851,0.9049274892828904,0.9163237461006555,5.484068974512463,0.34866611506408585,0.004818331205926896,COMPLETE
50,0.9130549526478665,2023-09-04 17:29:36.488777,2023-09-04 17:34:07.125888,0 days 00:04:30.637111,0.0025,balanced,4,11,400,89.57497636477153,0.5938846270243326,0.9130549526478665,0.9100502362770231,0.9081127323971986,0.9210018892693778,3.5270982201543055,0.0075903946908548086,0.00567472945439232,COMPLETE
51,0.9130549526478665,2023-09-04 17:30:03.616792,2023-09-04 17:34:34.085528,0 days 00:04:30.468736,0.0025,balanced,4,11,400,89.503604332606,0.6002852121988932,0.9130549526478665,0.9100502362770231,0.9081127323971986,0.9210018892693778,3.5511251172023117,0.022054171360224785,0.00567472945439232,COMPLETE
52,0.913515140796123,2023-09-04 17:30:15.039915,2023-09-04 17:36:36.859439,0 days 00:06:21.819524,0.0025,balanced,4,11,500,126.42340389887492,0.7999257246653239,0.913515140796123,0.9094271154877062,0.9081192517476407,0.922999055153022,6.403247820958373,0.03808403523724644,0.00672736206534635,COMPLETE
