number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
53,0.9768664850832097,2023-09-04 02:59:14.829398,2023-09-04 03:02:42.727814,0 days 00:03:27.898416,0.0,3,31,500,67.4606618086497,1.7859654426574707,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,0.9181102700333742,0.6670103198484763,0.004328464076228876,COMPLETE
54,0.9765654043504172,2023-09-04 02:59:21.330834,2023-09-04 03:05:35.220666,0 days 00:06:13.889832,0.0,6,31,500,122.9508143266042,1.6277720133463542,0.9765654043504172,0.9722914540219676,0.9778706753666366,0.9795340836626474,1.4395030733114047,0.6904194400467929,0.0030974958000886494,COMPLETE
55,0.9767736571012144,2023-09-04 02:59:28.496270,2023-09-04 03:03:51.211701,0 days 00:04:22.715431,0.0,4,31,500,86.36609220504761,1.1552069187164307,0.9767736571012144,0.9718457542365133,0.9785142563413969,0.979960960725733,1.65850230516695,0.04497668512726116,0.003534252243107092,COMPLETE
56,0.9761541032540474,2023-09-04 02:59:32.693585,2023-09-04 03:00:39.184184,0 days 00:01:06.490599,0.0,4,31,100,21.620856920878094,0.4919915994008382,0.9761541032540474,0.9723122148020684,0.9765103434529928,0.9796397515070812,1.5335490746648548,0.008654651353396008,0.003002041399929466,COMPLETE
57,0.9765654043504172,2023-09-04 03:00:21.708638,2023-09-04 03:07:03.492717,0 days 00:06:41.784079,0.0,6,31,500,132.11036547025046,1.758704423904419,0.9765654043504172,0.9722914540219676,0.9778706753666366,0.9795340836626474,3.579432197745751,0.8275341210641746,0.0030974958000886494,COMPLETE
58,0.9768664850832097,2023-09-04 03:00:39.190184,2023-09-04 03:04:23.881009,0 days 00:03:44.690825,0.0,3,31,500,73.351567029953,1.4943521817525227,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,3.3542760150720325,0.35927438033616027,0.004328464076228876,COMPLETE
59,0.9765654043504172,2023-09-04 03:01:30.969796,2023-09-04 03:07:43.242243,0 days 00:06:12.272447,0.0,6,31,500,121.897079149882,2.138551712036133,0.9765654043504172,0.9722914540219676,0.9778706753666366,0.9795340836626474,3.468728414916597,0.724985368292616,0.0030974958000886494,COMPLETE
60,0.9765654043504172,2023-09-04 03:02:11.576451,2023-09-04 03:08:48.244556,0 days 00:06:36.668105,0.0,6,31,500,130.8185887336731,1.3485894997914631,0.9765654043504172,0.9722914540219676,0.9778706753666366,0.9795340836626474,0.9700728129111148,0.04412069911920531,0.0030974958000886494,COMPLETE
61,0.9765654043504172,2023-09-04 03:02:33.937009,2023-09-04 03:09:10.503527,0 days 00:06:36.566518,0.0,6,31,500,130.95551300048828,1.1816353797912598,0.9765654043504172,0.9722914540219676,0.9778706753666366,0.9795340836626474,1.521455959795045,0.04437727173283006,0.0030974958000886494,COMPLETE
62,0.9767736571012144,2023-09-04 03:02:42.734810,2023-09-04 03:07:00.691922,0 days 00:04:17.957112,0.0,4,31,500,84.75533270835876,1.1793415546417236,0.9767736571012144,0.9718457542365133,0.9785142563413969,0.979960960725733,1.6368717584421513,0.07719229476507926,0.003534252243107092,COMPLETE
63,0.9768664850832097,2023-09-04 03:03:51.217697,2023-09-04 03:07:13.568222,0 days 00:03:22.350525,0.0,3,31,500,66.25161735216777,1.143373727798462,0.9768664850832097,0.9707556818838805,0.979610494513564,0.9802332788521844,2.432624377302691,0.030099777648779504,0.004328464076228876,COMPLETE
