number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
54,0.9259094318274403,2023-09-03 22:37:47.497006,2023-09-03 22:39:04.719627,0 days 00:01:17.222621,0.0,6,41,100,24.91137758890788,0.7853120168050131,0.9259094318274403,0.9188248269780646,0.9239127363850272,0.9349907321192295,0.40623405733450535,0.29919189804281227,0.00674903532739312,COMPLETE
55,0.9259094318274403,2023-09-03 22:37:55.493534,2023-09-03 22:39:11.401225,0 days 00:01:15.907691,0.0,6,41,100,24.875237703323364,0.381807804107666,0.9259094318274403,0.9188248269780646,0.9239127363850272,0.9349907321192295,0.21647233396939547,0.01755825936889406,0.00674903532739312,COMPLETE
56,0.9271802236900043,2023-09-03 22:38:05.438831,2023-09-03 22:39:31.157361,0 days 00:01:25.718530,0.0,6,11,100,28.111499071121216,0.41216111183166504,0.9271802236900043,0.9193267577052439,0.927310904836353,0.9349030085284159,1.1155174549695148,0.012733706389973143,0.006359649130683244,COMPLETE
57,0.9094124630362049,2023-09-03 22:38:26.564566,2023-09-03 22:39:43.433522,0 days 00:01:16.868956,0.0025,6,41,100,25.225345849990845,0.3387907346089681,0.9094124630362049,0.90576248542368,0.9075296605073119,0.914945243177623,0.14628200475617056,0.017969443567688984,0.003978229842028154,COMPLETE
58,0.9259094318274403,2023-09-03 22:38:28.370883,2023-09-03 22:39:50.717397,0 days 00:01:22.346514,0.0,6,41,100,26.870805740356445,0.5156692663828532,0.9259094318274403,0.9188248269780646,0.9239127363850272,0.9349907321192295,0.9289408169481218,0.12049432112344333,0.00674903532739312,COMPLETE
59,0.9262256867037512,2023-09-03 22:38:55.220187,2023-09-03 22:40:13.547870,0 days 00:01:18.327683,0.0,6,51,100,25.637734810511272,0.4017980893452962,0.9262256867037512,0.9187251704210347,0.9239226466749689,0.9360292430152497,0.29118530320232744,0.0054533086224230875,0.007249631122436283,COMPLETE
60,0.9262256867037512,2023-09-03 22:39:02.115893,2023-09-03 22:40:20.550350,0 days 00:01:18.434457,0.0,6,51,100,25.70569046338399,0.39494848251342773,0.9262256867037512,0.9187251704210347,0.9239226466749689,0.9360292430152497,0.14104080333118488,0.03164596519910736,0.007249631122436283,COMPLETE
61,0.925692480983822,2023-09-03 22:39:04.729621,2023-09-03 22:40:28.887167,0 days 00:01:24.157546,0.0,7,51,100,27.437586069107056,0.5650525887807211,0.925692480983822,0.9181436875535715,0.9241767897998077,0.9347569655980869,0.29672086317716123,0.26147023881354187,0.006866500402682987,COMPLETE
62,0.925692480983822,2023-09-03 22:39:05.379027,2023-09-03 22:40:36.546853,0 days 00:01:31.167826,0.0,7,51,100,29.289132912953693,1.0376288096110027,0.925692480983822,0.9181436875535715,0.9241767897998077,0.9347569655980869,0.76702664246334,0.15278621733900677,0.006866500402682987,COMPLETE
63,0.9020306405606665,2023-09-03 22:39:11.407224,2023-09-03 22:40:34.443748,0 days 00:01:23.036524,0.0075,7,51,100,27.144500255584717,0.46997928619384766,0.9020306405606665,0.8992797533943688,0.8979247313079953,0.908887436979635,0.663727213880412,0.2034909534294386,0.004879942900077543,COMPLETE
64,0.9068840393131182,2023-09-03 22:39:31.162356,2023-09-03 22:41:09.553720,0 days 00:01:38.391364,0.0025,7,11,100,32.13537232081095,0.6080633004506429,0.9068840393131182,0.9045630017585606,0.9005593524150378,0.9155297637657565,1.062820374877424,0.228918973776211,0.006328175908831951,COMPLETE
65,0.9068840393131182,2023-09-03 22:39:43.440548,2023-09-03 22:41:19.829751,0 days 00:01:36.389203,0.0025,7,11,100,31.53081758817037,0.540223757425944,0.9068840393131182,0.9045630017585606,0.9005593524150378,0.9155297637657565,1.1035119064769765,0.3007995171229953,0.006328175908831951,COMPLETE
66,0.9004057751420587,2023-09-03 22:39:50.726400,2023-09-03 22:41:32.312795,0 days 00:01:41.586395,0.0075,7,11,100,33.321236530939736,0.4960464636484782,0.9004057751420587,0.8990806080638165,0.8929230383892405,0.909213678973119,0.8427417230949568,0.10553773091431012,0.006716313150194836,COMPLETE
