number,value,datetime_start,datetime_complete,duration,params_rf__ccp_alpha,params_rf__class_weight,params_rf__max_features,params_rf__min_samples_leaf,params_rf__n_estimators,user_attrs_mean_fit_time,user_attrs_mean_score_time,user_attrs_mean_test_score,user_attrs_split0_test_score,user_attrs_split1_test_score,user_attrs_split2_test_score,user_attrs_std_fit_time,user_attrs_std_score_time,user_attrs_std_test_score,state
60,0.9219748629291069,2023-09-05 04:20:03.121921,2023-09-05 04:36:58.321593,0 days 00:16:55.199672,0.0,,5,1,900,333.656724691391,4.583082755406697,0.9219748629291069,0.9139324343309762,0.9194646084958887,0.9325275459604557,8.796453526878475,0.7510960244612855,0.007796177572709168,COMPLETE
61,0.9219748629291069,2023-09-05 04:20:17.019149,2023-09-05 04:35:57.339578,0 days 00:15:40.320429,0.0,,5,1,900,307.5444878737132,5.736084938049316,0.9219748629291069,0.9139324343309762,0.9194646084958887,0.9325275459604557,9.010437810085145,1.356247851205361,0.007796177572709168,COMPLETE
62,0.9219748629291069,2023-09-05 04:24:41.066730,2023-09-05 04:41:36.210459,0 days 00:16:55.143729,0.0,,5,1,900,333.38309295972186,4.851389328638713,0.9219748629291069,0.9139324343309762,0.9194646084958887,0.9325275459604557,11.088732318888258,1.227708478592406,0.007796177572709168,COMPLETE
63,0.9150051817153823,2023-09-05 04:25:00.375139,2023-09-05 04:38:47.145190,0 days 00:13:46.770051,0.001,,4,1,900,272.22004222869873,3.277920961380005,0.9150051817153823,0.9082585347776344,0.9083511139238819,0.9284058964446307,9.013541838593543,0.6891980759482156,0.00947581163333253,COMPLETE
64,0.9150051817153823,2023-09-05 04:28:04.054570,2023-09-05 04:40:38.415156,0 days 00:12:34.360586,0.001,,4,1,900,248.966783285141,2.4140501817067466,0.9150051817153823,0.9082585347776344,0.9083511139238819,0.9284058964446307,3.024574316622264,0.08762389451520172,0.00947581163333253,COMPLETE
65,0.9141922937566654,2023-09-05 04:31:28.525982,2023-09-05 04:40:49.199483,0 days 00:09:20.673501,0.001,,4,11,750,184.71236864725748,2.096427043279012,0.9141922937566654,0.9082799383379826,0.9096662064571842,0.9246307364748296,4.970177642101993,0.20273514824450412,0.007402758477300846,COMPLETE
66,0.9141922937566654,2023-09-05 04:31:40.340842,2023-09-05 04:41:04.268623,0 days 00:09:23.927781,0.001,,4,11,750,185.76237932840982,2.147186358769735,0.9141922937566654,0.9082799383379826,0.9096662064571842,0.9246307364748296,4.3022706870924665,0.2718421681280497,0.007402758477300846,COMPLETE
67,0.927236342386006,2023-09-05 04:31:43.093090,2023-09-05 04:43:59.143816,0 days 00:12:16.050726,0.0,,4,11,900,241.7031693458557,3.5426406860351562,0.927236342386006,0.9202401893850096,0.925732877211999,0.9357359605610094,5.453522471718507,0.41699742491610015,0.006414828484681677,COMPLETE
68,0.9272265339316711,2023-09-05 04:35:57.359563,2023-09-05 04:45:18.782628,0 days 00:09:21.423065,0.0,,4,11,750,184.07369001706442,2.9989750385284424,0.9272265339316711,0.9201709071390729,0.9257130931859031,0.9357956014700376,4.2582521504874045,0.3623933484997842,0.0064679025658623615,COMPLETE
69,0.9141922937566654,2023-09-05 04:36:58.331570,2023-09-05 04:47:17.777014,0 days 00:10:19.445444,0.001,,4,11,750,203.25790452957153,3.1603962580362954,0.9141922937566654,0.9082799383379826,0.9096662064571842,0.9246307364748296,6.427840580197513,0.8246190669660273,0.007402758477300846,COMPLETE
70,0.9272265339316711,2023-09-05 04:38:47.158706,2023-09-05 04:49:19.823664,0 days 00:10:32.664958,0.0,,4,11,750,207.89321478207907,2.9195779959360757,0.9272265339316711,0.9201709071390729,0.9257130931859031,0.9357956014700376,11.311965332288374,0.31283752442500945,0.0064679025658623615,COMPLETE
71,0.9272265339316711,2023-09-05 04:40:38.428162,2023-09-05 04:50:04.954323,0 days 00:09:26.526161,0.0,,4,11,750,186.38471579551697,2.383317152659098,0.9272265339316711,0.9201709071390729,0.9257130931859031,0.9357956014700376,6.645745824113135,0.10010695016272779,0.0064679025658623615,COMPLETE
72,0.9272265339316711,2023-09-05 04:40:49.206009,2023-09-05 04:50:17.139111,0 days 00:09:27.933102,0.0,,4,11,750,186.84323151906332,2.3986194928487143,0.9272265339316711,0.9201709071390729,0.9257130931859031,0.9357956014700376,6.867695723842037,0.03301947262652305,0.0064679025658623615,COMPLETE
73,0.9272265339316711,2023-09-05 04:41:04.280620,2023-09-05 04:50:29.248685,0 days 00:09:24.968065,0.0,,4,11,750,185.55834285418192,2.6924609343210855,0.9272265339316711,0.9201709071390729,0.9257130931859031,0.9357956014700376,6.839481879417325,0.3362288025759833,0.0064679025658623615,COMPLETE
74,0.9272265339316711,2023-09-05 04:41:36.216453,2023-09-05 04:52:17.626431,0 days 00:10:41.409978,0.0,,4,11,750,210.20180050532022,3.530146360397339,0.9272265339316711,0.9201709071390729,0.9257130931859031,0.9357956014700376,12.480921086236776,1.1237673099565457,0.0064679025658623615,COMPLETE
75,0.9272265339316711,2023-09-05 04:43:59.154823,2023-09-05 04:54:46.273246,0 days 00:10:47.118423,0.0,,4,11,750,211.36903516451517,4.256074905395508,0.9272265339316711,0.9201709071390729,0.9257130931859031,0.9357956014700376,8.36392038075081,0.16195335464688793,0.0064679025658623615,COMPLETE
76,0.9272265339316711,2023-09-05 04:45:18.791624,2023-09-05 04:54:53.579961,0 days 00:09:34.788337,0.0,,4,11,750,188.94487357139587,2.5708449681599936,0.9272265339316711,0.9201709071390729,0.9257130931859031,0.9357956014700376,5.152058078881602,0.2612333847280136,0.0064679025658623615,COMPLETE
77,0.9272973905138207,2023-09-05 04:47:17.783011,2023-09-05 04:58:24.880571,0 days 00:11:07.097560,0.0,,4,6,750,218.73269494374594,3.564648707707723,0.9272973905138207,0.9192624716028029,0.9266545046274133,0.9359751953112456,2.119779053086008,0.6798511924120573,0.006838067959879302,COMPLETE
78,0.9272973905138207,2023-09-05 04:49:19.842665,2023-09-05 05:00:08.346133,0 days 00:10:48.503468,0.0,,4,6,750,213.43741210301718,2.6533830960591636,0.9272973905138207,0.9192624716028029,0.9266545046274133,0.9359751953112456,1.7815280520465657,0.25406654917264426,0.006838067959879302,COMPLETE
79,0.9272973905138207,2023-09-05 04:50:04.961323,2023-09-05 04:59:53.994176,0 days 00:09:49.032853,0.0,,4,6,750,193.13403995831808,3.149217367172241,0.9272973905138207,0.9192624716028029,0.9266545046274133,0.9359751953112456,0.8012525917617114,0.8939408013167515,0.006838067959879302,COMPLETE
80,0.9273139512762238,2023-09-05 04:50:17.152645,2023-09-05 04:58:09.712981,0 days 00:07:52.560336,0.0,,4,6,600,155.52646279335022,1.9022800922393799,0.9273139512762238,0.9192496111423378,0.9267345211299218,0.9359577215564121,2.2820735894779474,0.03850397473428074,0.006833351684839929,COMPLETE
81,0.9273139512762238,2023-09-05 04:50:29.257685,2023-09-05 04:58:22.347576,0 days 00:07:53.089891,0.0,,4,6,600,155.52232146263123,2.09793488184611,0.9273139512762238,0.9192496111423378,0.9267345211299218,0.9359577215564121,1.245059225779982,0.1541090376030235,0.006833351684839929,COMPLETE
82,0.9273139512762238,2023-09-05 04:52:17.638429,2023-09-05 05:00:51.664465,0 days 00:08:34.026036,0.0,,4,6,600,169.0843314329783,2.163135608037313,0.9273139512762238,0.9192496111423378,0.9267345211299218,0.9359577215564121,3.912598330283364,0.06424616542755962,0.006833351684839929,COMPLETE
83,0.9273139512762238,2023-09-05 04:54:46.311244,2023-09-05 05:03:19.553393,0 days 00:08:33.242149,0.0,,4,6,600,167.8701814810435,3.0966622034708657,0.9273139512762238,0.9192496111423378,0.9267345211299218,0.9359577215564121,4.446130793959535,1.3116540252077498,0.006833351684839929,COMPLETE
84,0.9273139512762238,2023-09-05 04:54:53.590957,2023-09-05 05:02:45.308713,0 days 00:07:51.717756,0.0,,4,6,600,154.99885630607605,2.1673746903737388,0.9273139512762238,0.9192496111423378,0.9267345211299218,0.9359577215564121,6.529596660424783,0.11336774361398529,0.006833351684839929,COMPLETE
85,0.9273139512762238,2023-09-05 04:58:09.719973,2023-09-05 05:06:08.789839,0 days 00:07:59.069866,0.0,,4,6,600,157.00946935017905,2.6051063537597656,0.9273139512762238,0.9192496111423378,0.9267345211299218,0.9359577215564121,3.646719860173118,0.7822502090419649,0.006833351684839929,COMPLETE
